epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.513,1.23879,2.19269,1.09285,0.99383,0.89542,0.97137,0.67685,1.07111,2.08549,0.97601,0.000659259,0.000659259,0.000659259
2,732.979,1.2016,1.43831,1.05116,0.90556,0.92222,0.94532,0.63003,1.07619,1.52867,1.01423,0.00129967,0.00129967,0.00129967
3,1029.4,1.20452,1.25546,1.06442,0.94457,0.94676,0.97539,0.67281,1.08441,1.28082,1.01836,0.00191369,0.00191369,0.00191369
4,1325.01,1.17817,1.06055,1.05465,0.88299,0.90556,0.93366,0.6251,1.04569,1.13126,0.98838,0.0018812,0.0018812,0.0018812
5,1633.09,1.14352,0.96283,1.04607,0.94583,0.97008,0.98411,0.67743,1.08069,0.93962,1.01921,0.0018416,0.0018416,0.0018416
6,2006.02,1.14392,0.89278,1.04805,0.96336,0.93333,0.9888,0.67004,1.10091,0.85757,1.02449,0.001802,0.001802,0.001802
7,2361.96,1.11476,0.81241,1.03155,0.98832,0.94018,0.98996,0.69538,1.01357,0.73068,0.9668,0.0017624,0.0017624,0.0017624
8,2708.35,1.09194,0.76479,1.0121,0.98882,0.98302,0.98867,0.71783,0.93588,0.68703,0.95262,0.0017228,0.0017228,0.0017228
9,3011.13,1.05294,0.7102,0.99785,0.99595,0.98333,0.99447,0.74086,0.88959,0.64242,0.9319,0.0016832,0.0016832,0.0016832
10,3316.7,1.05074,0.70986,0.99859,0.96715,0.98152,0.9919,0.72543,0.93488,0.59253,0.97486,0.0016436,0.0016436,0.0016436
11,3647.15,1.01008,0.66032,0.98703,0.99132,0.97778,0.99331,0.7381,0.89142,0.56982,0.94687,0.001604,0.001604,0.001604
12,3962,0.99937,0.6452,0.98898,0.97219,0.97116,0.99152,0.75668,0.90251,0.56699,0.95216,0.0015644,0.0015644,0.0015644
13,4252.13,1.02633,0.64169,0.98121,0.97803,0.98929,0.99445,0.74626,0.91722,0.57005,0.94785,0.0015248,0.0015248,0.0015248
14,4536.74,0.99365,0.61003,0.97241,0.97966,0.98333,0.9936,0.75998,0.91495,0.5413,0.93619,0.0014852,0.0014852,0.0014852
